Company,Skills
JIVA INFOTECH,"['problem solving', 'git', 'php', 'html', 'mvc', 'magento']"
JIVA INFOTECH,"['css', 'jquery', 'git', 'oops', 'linux', 'zend', 'debugging', 'mysql', 'html', 'mvc', 'technical skills', 'magento', 'rest', 'svn', 'javascript', 'web hosting', 'putty', 'php', 'soap']"
JIVA INFOTECH,"['bug fixing', 'webkit', 'database', 'security', 'java', 'mvvm', 'git', 'xml', 'json', 'api', 'problem solving']"
TAURUS HARD SOFT SOLUTIONS,"['c', 'c', 'network programming', 'linux', 'debugging', 'ipc', 'java programming']"
TAURUS HARD SOFT SOLUTIONS,"['c', 'c', 'network programming', 'linux', 'debugging', 'telecom', 'ipc', 'java programming']"
TAURUS HARD SOFT SOLUTIONS,"['c', 'c', 'network programming', 'linux', 'debugging', 'ipc', 'java programming']"
TAURUS HARD SOFT SOLUTIONS,"['c', 'c', 'network programming', 'linux', 'debugging', 'ipc', 'java programming']"
TAURUS HARD SOFT SOLUTIONS,"['c', 'c', 'network programming', 'linux', 'debugging', 'ipc', 'java programming']"
TAURUS HARD SOFT SOLUTIONS,"['c', 'c', 'network programming', 'linux', 'debugging', 'ipc', 'java programming']"
TAURUS HARD SOFT SOLUTIONS,"['c', 'c', 'network programming', 'linux', 'debugging', 'ipc', 'java programming']"
TAURUS HARD SOFT SOLUTIONS,"['python', 'debugging', 'java programming']"
TAURUS HARD SOFT SOLUTIONS,"['python', 'c', 'debugging', 'java programming']"
TAURUS HARD SOFT SOLUTIONS,"['python', 'c', 'debugging', 'java programming']"
TAURUS HARD SOFT SOLUTIONS,"['python', 'c', 'debugging', 'java programming']"
